City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kununurra,AU,-15.7667,128.7333,77.0,41,39,8.05,scattered clouds
80,Gat,IL,31.61,34.7642,64.0,100,10,4.32,clear sky
81,Tiarei,PF,-17.5333,-149.3333,84.0,74,75,8.05,light rain
82,Ugoofaaru,MV,5.6667,73.0,83.59,72,34,7.0,scattered clouds
83,Cape Town,ZA,-33.9258,18.4232,60.01,88,0,1.14,clear sky
84,Carnarvon,AU,-24.8667,113.6333,68.0,60,0,6.91,clear sky
85,Hermanus,ZA,-34.4187,19.2345,63.0,80,93,1.99,overcast clouds
86,Fortuna,US,40.5982,-124.1573,57.0,50,1,6.91,clear sky
87,Severo-Kurilsk,RU,50.6789,156.125,35.02,97,100,4.85,overcast clouds
88,San Felipe,VE,10.3399,-68.7425,72.21,94,95,4.9,overcast clouds
89,Tuatapere,NZ,-46.1333,167.6833,48.99,78,95,7.0,overcast clouds
90,Nador,MA,35.174,-2.9287,60.8,94,75,14.97,mist
91,Yerbogachen,RU,61.2767,108.0108,34.72,86,100,2.37,overcast clouds
92,San Quintin,MX,30.4833,-115.95,62.01,72,42,18.84,scattered clouds
93,Blind River,CA,46.1834,-82.9582,50.0,53,75,10.36,broken clouds
94,Mercedes,AR,-34.6515,-59.4307,62.01,71,2,3.0,clear sky
95,Cabo San Lucas,MX,22.8909,-109.9124,80.6,27,1,9.22,clear sky
96,Butaritari,KI,3.0707,172.7902,82.26,77,36,11.23,light rain
97,Xai-Xai,MZ,-25.0519,33.6442,65.97,91,18,5.12,few clouds
98,Mosquera,CO,4.7059,-74.2302,60.8,77,75,4.61,broken clouds
99,Hobart,AU,-42.8794,147.3294,55.4,62,75,8.05,broken clouds
100,Komsomolskiy,UZ,40.4272,71.7189,55.4,47,23,6.91,few clouds
101,Aklavik,CA,68.2191,-135.0107,42.8,45,20,8.05,few clouds
102,Camacha,PT,33.0833,-16.3333,62.6,77,20,14.97,few clouds
103,Praia,CV,14.9215,-23.5087,69.8,78,40,14.97,scattered clouds
104,Buraydah,SA,26.326,43.975,77.0,23,0,4.61,clear sky
105,Sorland,NO,67.667,12.6934,36.55,59,86,20.62,overcast clouds
106,Lebu,CL,-37.6167,-73.65,54.27,81,0,15.93,clear sky
107,Bonnyville,CA,54.2668,-110.735,42.8,41,75,8.05,broken clouds
108,Riviere-Au-Renard,CA,48.9957,-64.3971,46.4,42,20,8.05,few clouds
109,Isangel,VU,-19.55,169.2667,81.7,66,98,13.22,overcast clouds
110,Pokosnoye,RU,55.5258,101.0536,29.64,92,100,4.63,overcast clouds
111,Leningradskiy,RU,69.3833,178.4167,31.35,82,97,2.51,overcast clouds
112,Asosa,ET,10.0667,34.5333,66.47,68,83,1.79,broken clouds
113,Glendive,US,47.1053,-104.7125,54.0,28,75,4.61,broken clouds
114,Kijang,KR,35.2442,129.2139,62.6,55,75,16.11,broken clouds
115,Bengkulu,ID,-3.8004,102.2655,75.83,85,67,3.31,broken clouds
116,Castro,BR,-24.7911,-50.0119,59.99,74,75,2.01,broken clouds
117,Bredasdorp,ZA,-34.5322,20.0403,48.2,93,92,3.44,overcast clouds
118,Belmonte,BR,-15.8631,-38.8828,78.8,78,20,8.05,few clouds
119,Oranjemund,NA,-28.55,16.4333,61.99,75,72,5.86,broken clouds
120,Yarmouth,US,41.7057,-70.2286,57.0,44,1,20.71,clear sky
121,Tazovskiy,RU,67.4667,78.7,17.78,94,95,8.5,overcast clouds
122,Ayagoz,KZ,47.9714,80.4392,32.22,50,86,7.52,overcast clouds
123,Husavik,IS,66.0449,-17.3389,39.2,100,0,2.3,clear sky
124,Bathsheba,BB,13.2167,-59.5167,78.8,61,40,18.41,scattered clouds
125,Fort Nelson,CA,58.8053,-122.7002,46.4,25,75,8.05,broken clouds
126,Vila Franca Do Campo,PT,37.7167,-25.4333,59.0,82,75,14.97,broken clouds
127,Usinsk,RU,65.9939,57.5281,34.68,88,82,8.19,broken clouds
128,Srednekolymsk,RU,67.45,153.6833,17.22,83,100,9.33,overcast clouds
129,La Ronge,CA,55.1001,-105.2842,32.0,43,100,9.22,overcast clouds
130,Alice Springs,AU,-23.7,133.8833,64.4,42,0,10.36,clear sky
131,Upernavik,GL,72.7868,-56.1549,25.66,86,12,6.73,few clouds
132,Port-Gentil,GA,-0.7193,8.7815,80.6,89,75,4.61,broken clouds
133,Nettuno,IT,41.4826,12.679,53.01,88,41,1.66,scattered clouds
134,Lovozero,RU,68.005,35.0117,32.88,99,100,5.77,snow
135,Airai,TL,-8.9266,125.4092,65.8,71,56,3.36,broken clouds
136,Cap Malheureux,MU,-19.9842,57.6142,75.99,84,100,7.0,light rain
137,Dawlatabad,AF,36.4141,64.9053,64.71,22,44,3.27,scattered clouds
138,Berlevag,NO,70.8578,29.0864,33.96,74,100,16.6,overcast clouds
139,Kapaa,US,22.0752,-159.319,80.6,61,20,13.8,light rain
140,Muros,ES,42.7762,-9.0603,57.99,93,98,5.93,moderate rain
141,Terrak,NO,65.087,12.3715,35.6,69,40,6.91,scattered clouds
142,Arraial Do Cabo,BR,-22.9661,-42.0278,75.2,83,40,2.3,scattered clouds
143,Cidreira,BR,-30.1811,-50.2056,68.9,88,60,6.96,broken clouds
144,New Norfolk,AU,-42.7826,147.0587,55.0,67,89,6.55,overcast clouds
145,Cherskiy,RU,68.75,161.3,20.3,86,95,14.27,overcast clouds
146,Honiara,SB,-9.4333,159.95,86.49,68,65,2.15,broken clouds
147,Pangnirtung,CA,66.1451,-65.7125,28.54,82,10,5.19,clear sky
148,Bonavista,CA,48.6499,-53.1147,42.8,61,71,8.05,broken clouds
149,East London,ZA,-33.0153,27.9116,64.72,78,67,5.01,broken clouds
150,Winchester,GB,51.0651,-1.3187,46.4,57,3,10.36,clear sky
151,Nioro,GM,13.35,-15.75,79.16,32,26,9.95,scattered clouds
152,Ningyang,CN,35.7642,116.7914,57.9,64,100,8.28,overcast clouds
153,Te Anau,NZ,-45.4167,167.7167,46.9,75,91,9.6,light rain
154,Deputatskiy,RU,69.3,139.9,17.2,87,100,5.66,overcast clouds
155,Abonnema,NG,4.7084,6.7931,77.65,83,95,1.97,overcast clouds
156,Mahebourg,MU,-20.4081,57.7,78.8,78,75,14.97,light rain
157,Kavieng,PG,-2.5744,150.7967,84.22,72,50,10.49,scattered clouds
158,Huilong,CN,31.8111,121.655,68.0,86,99,10.67,overcast clouds
159,Bundaberg,AU,-24.85,152.35,75.2,53,40,8.05,scattered clouds
160,Hualmay,PE,-11.0964,-77.6139,66.76,87,7,9.13,clear sky
161,Kirya,TZ,-3.9167,37.4833,70.81,88,79,7.81,broken clouds
162,Akureyri,IS,65.6835,-18.0878,39.2,100,0,2.3,clear sky
163,Nanortalik,GL,60.1432,-45.2371,40.78,76,99,13.2,overcast clouds
164,Kaeo,NZ,-35.1,173.7833,66.99,67,6,5.99,clear sky
165,Monterotondo,IT,42.0525,12.6187,51.01,79,84,3.49,broken clouds
166,Razole,IN,16.4833,81.8333,78.37,85,1,2.19,clear sky
167,Rawson,AR,-43.3002,-65.1023,58.08,56,6,8.84,clear sky
168,Aras,ES,42.5617,-2.356,55.0,87,0,8.05,clear sky
169,Marienburg,PL,54.0359,19.0266,37.0,52,11,5.64,few clouds
170,Salta,AR,-24.7859,-65.4117,60.8,77,90,3.44,overcast clouds
171,Bykovo,RU,55.6361,38.0803,37.4,81,0,8.95,light rain
172,Bichena,ET,10.45,38.2,57.99,68,94,1.52,overcast clouds
173,Ouallam,NE,14.3188,2.0866,85.71,8,1,3.98,clear sky
174,Mattawa,US,46.7379,-119.9028,50.0,84,100,4.0,overcast clouds
175,Japura,ID,-0.3167,102.35,73.76,98,95,1.01,overcast clouds
176,Coihaique,CL,-45.5752,-72.0662,48.2,81,40,4.61,scattered clouds
